,Country,Rank,Score,Year,Life Expectancy,Trust in the gov,Economy strength,Generosity,Perceived freedom,Family,ISO
45,Japan,46,5.987,2015,83.52357827476038,0.327227265314997,0.7517303392056411,0.13450520178921446,0.7408209278365908,0.8965148370809353,JPN
46,South Korea,47,5.984,2015,82.8330607028754,0.14236016741860086,0.7362726423019131,0.23316329094838417,0.49584160781210335,0.6830120593625867,KOR
47,Ecuador,48,5.975,2015,78.14650479233227,0.3277708322009023,0.5111274121224311,0.14500929788410313,0.7252773505741119,0.7124580133073746,ECU
48,Bahrain,49,5.96,2015,76.97667731629393,0.5544382236234169,0.7830953254220845,0.21814846459265214,0.6792588057874068,0.8673612745412663,BHR
49,Italy,50,5.948,2015,82.54,0.05256291786704354,0.7401355876054471,0.28676433633211035,0.39173995490720137,0.8541893983155402,ITA
50,Bolivia,51,5.89,2015,71.39564217252396,0.15944628653222445,0.4030536789673572,0.2580288485701362,0.8572708404879578,0.6977528650791952,BOL
51,Moldova,52,5.889,2015,73.51738019169329,0.02926201735790256,0.3516759148613954,0.2632432024928381,0.49001836561002193,0.7240466970468468,
52,Paraguay,53,5.878,2015,74.66385942492013,0.14933594245438567,0.4495036736432366,0.4302156103935266,0.8047870037179161,0.9304964235539105,PRY
53,Kazakhstan,54,5.855,2015,74.19957827476038,0.15317714844811656,0.6640598194531537,0.14860280444288082,0.7711913756289848,0.8004464317551327,KAZ
54,Slovenia,55,5.848,2015,80.36378274760384,0.06861625989744705,0.7009973852652003,0.31823893049203394,0.9086497543786302,0.9084458327093272,SVN
55,Lithuania,56,5.833,2015,76.55050479233228,0.018680581978945843,0.678665657055643,0.033183394481580135,0.31866573096621026,0.8967501765045677,LTU
56,Nicaragua,57,5.828,2015,76.86879233226837,0.35000271783442954,0.3509482850415873,0.34948735990350305,0.8283188747704298,0.8143029317586986,NIC
57,Peru,58,5.824,2015,76.52071565495208,0.10851406932289684,0.5325244613764627,0.18824445896366288,0.6195929703014648,0.6950286329632085,PER
58,Belarus,59,5.813,2015,76.67932268370608,0.34588972839774595,0.6104518403710321,0.13878976730160325,0.566467083750168,0.8792352181881716,BLR
59,Poland,60,5.791,2015,77.83197444089457,0.0763167907811056,0.6658404420203263,0.210571945519425,0.7931853134845386,0.9124608659064489,POL
60,Malaysia,61,5.77,2015,76.35352076677316,0.19026652896305557,0.6654322594384827,0.41557772528521886,0.7917220372388873,0.7632342768304772,MYS
61,Croatia,62,5.759,2015,78.0740447284345,0.044028917758330156,0.6403970610854107,0.06840227169925114,0.3864691741448046,0.5678383717364482,HRV
62,Libya,63,5.754,2015,75.81302236421726,0.19972459277780796,0.6693306988795684,0.22987133738754587,0.6221611694264852,0.7977435941322036,LBY
63,Russia,64,5.716,2015,74.88607028753994,0.054447283071515286,0.6729925107369766,0.002500376941247424,0.5476684634106281,0.8815743494291235,RUS
64,Jamaica,65,5.709,2015,75.37316293929712,0.04165534235654364,0.47939565315128785,0.2667487560938835,0.7531691875830557,0.8208496466342896,JAM
65,North Cyprus,66,5.695,2015,81.71073482428116,0.2587378376909279,0.714650796843388,0.32880585012816,0.7320412703626834,0.7631273043651896,
66,Cyprus,67,5.689,2015,81.71073482428116,0.1113587360258013,0.7146922066705316,0.3849575312861235,0.607289504725785,0.6369711103028747,CYP
67,Algeria,68,5.605,2015,73.50127795527158,0.3149607725897339,0.5556548076809313,0.09828114791174548,0.4267242022904752,0.768575768597163,DZA
68,Kosovo,69,5.589,2015,73.86787220447285,0.08590168686923592,0.474130689414465,0.3557068904860029,0.36953697758798315,0.5790633490939432,
69,Turkmenistan,70,5.548,2015,71.38651757188498,0.5588592342954467,0.5670011003182641,0.21333618133386942,0.7108834903617876,0.8748065581252719,TKM
70,Mauritius,71,5.477,2015,75.96599361022365,0.13627221829646138,0.5960707989730362,0.4742423480926773,0.8371433264151226,0.702602283505559,MUS
